,distance,times,f_bl,lat,lon,mag,summ
2412,0.0537062810729214,0.000000433,0.0000000233,53.734,161.57,5.8,-7.63354556293014
1011,1.38427845970572,0.0000000177,0.0000000245,52.552,160.692,4.77,-7.61096448154831
1812,0.197522455273006,0.000000124,0.0000000246,52.509,160.363,4.77,-7.60964443108333
713,0.158986682852952,0.000000155,0.0000000247,56.8372,162.8089,5.62,-7.60694317877329
2653,0.0586721906039814,0.000000432,0.0000000253,51.506,159.418,5.4,-7.59613931149454
1026,0.903045208978945,0.0000000283,0.0000000256,52.194,160.15,4.94,-7.59206933840885
1032,0.0742629890368654,0.000000345,0.0000000256,52.31,160.003,5.28,-7.59197190053293
2399,0.38540950541873,0.0000000665,0.0000000256,53.734,161.57,5.8,-7.59125872054325
2382,0.000751400837515241,0.0000347,0.000000026,55.078,162.545,5.2,-7.58426970676203
2719,0.0609113534612098,0.00000043,0.0000000262,53.86,159.229,5.11,-7.58178366054149
2227,0.0222947587398989,0.00000118,0.0000000262,53.862,161.978,5.365,-7.58091852415265
1022,0.0116183429312322,0.00000227,0.0000000264,52.297,160.506,4.855,-7.57793900517475
786,0.32058084512421,0.0000000826,0.0000000265,53.9513,158.7126,5.195,-7.57723254785478
1018,0.340458291605247,0.0000000787,0.0000000268,52.237,160.243,5.025,-7.57206789201387
1663,0.582755690784324,0.0000000461,0.0000000269,53.495,161.575,4.8,-7.57102721924954
1958,0.0353817255543397,0.000000766,0.0000000271,52.591,160.324,6.5,-7.56720378989858
2510,2.86544288873053,0.00000000946,0.0000000271,54.439,162.276,5.62,-7.56695856720943
1815,0.0468522848387529,0.000000579,0.0000000271,52.221,160.593,5.28,-7.56635875474877
2722,0.499547690156826,0.0000000547,0.0000000273,53.826,159.586,6.64,-7.56327860648739
2360,0.154414250542717,0.000000178,0.0000000275,53.972,161.909,6.1,-7.56107658365551
2376,0.398189497571156,0.0000000691,0.0000000275,53.791,161.806,4.855,-7.56063020113457
2721,0.837416205812872,0.0000000333,0.0000000279,53.826,159.586,6.64,-7.55442082848402
2336,0.00558800190194444,0.000005,0.0000000279,54.131,161.882,5.025,-7.5539397232177
2370,0.127060885492387,0.000000221,0.0000000281,53.85,161.569,4.94,-7.55129027521816
1414,0.00285023723140193,0.0000101,0.0000000289,53.771,161.13,5.025,-7.53915500679326
1729,0.249825379438736,0.000000116,0.0000000289,55.302,162.683,4.94,-7.53890999329487
1826,0.0326799817513648,0.000000891,0.0000000291,52.209,160.564,5.025,-7.53597123340178
1959,0.00167918712890437,0.0000174,0.0000000292,52.609,160.478,5.2,-7.53414668423623
2404,0.0774895970936392,0.000000384,0.0000000297,53.925,161.713,5.28,-7.52694655503188
1692,0.10961847165622,0.000000275,0.0000000302,52.231,159.65,5.4,-7.52066329500139
2652,0.25576886864139,0.00000012,0.0000000307,51.544,159.584,5.535,-7.51307539055861
319,0.096793486160432,0.000000319,0.0000000308,54.7095,163.2488,4.94,-7.51092376666125
2429,0.10109357111445,0.000000306,0.0000000309,53.928,161.545,5.195,-7.50979378435853
1093,1.346548386531,0.0000000233,0.0000000314,52.319,160.255,5.195,-7.50328120857961
2522,0.372071242194035,0.0000000845,0.0000000315,54.841,162.035,7.8,-7.50228817634776
1015,0.0714166093964961,0.000000441,0.0000000315,52.553,160.662,4.855,-7.50142890641451
2420,0.765905887814022,0.0000000414,0.0000000317,53.785,161.692,5.195,-7.49914496521502
582,0.0383365288415991,0.000000827,0.0000000317,54.9045,164.3986,5.11,-7.49868232791875
1738,1.9675002196232,0.0000000161,0.0000000318,51.466,159.288,4.94,-7.49799063103458
