,distance,times,f_bl,lat,lon,mag,summ
358,32.7916865185412,0.00000139,0.42389362625219,52.2126,160.1111,5.025,1.51576375356687
59,32.8852989916473,0.00145228395668967,0.341240295004,52.8825,160.1271,5.5,1.51730822269715
1089,33.0458611475017,0.000933045004396272,0.41135354280632,52.335,159.671,5.11,1.51919833457323
431,33.0979131628766,0.000582473442702124,0.466772951694976,52.5863,160.9758,4.855,1.51982038198271
314,33.268516623528,0.000203104931157171,0.44638974686974,54.9421,162.7549,4.94,1.52203427515582
998,33.3649277980449,0.0000181,0.487973865902974,52.485,160.63,4.77,1.52329018996047
1650,33.6010945763207,0.00129953702743632,0.476916906467375,50.638,157.147,4.855,1.52657297817276
230,33.7839335245031,0.00000799,0.469872901676876,51.0728,158.0917,4.855,1.52871021392223
852,33.7252229364225,0.00218554279274286,0.3393288012111,55.2049,163.2446,5.6,1.52899919256184
153,33.8226938684809,0.000103677378991094,0.47019528244219,51.5374,159.8042,4.855,1.52920830628146
1195,33.8730974672972,0.000129846586958613,0.470575660988323,52.787,160.699,4.855,1.52985513078516
1358,5.6952188213358,0.0197861861126433,1.32409046445715,53.296,153.962,4.94,1.53043591574051
1809,33.8784384283179,0.00206350565737543,0.45085762305185,52.097,160.828,5.025,1.53080238766258
499,33.9549235989719,0.000467220785769063,0.49336148926713,51.449,159.8446,4.77,1.53091296089804
1573,33.9522711748786,0.00298718863174208,0.472223531767864,55.755,162.406,5.025,1.53353545395687
1009,34.0484478333671,0.00332068606403406,0.462493041133835,52.269,160.148,5.11,1.53576048908984
268,34.3688798967334,0.000459899511054885,0.398360217882278,52.3872,160.623,5.195,1.53617510955263
1455,27.6752579780364,0.0098919310724849,0.825066364165278,52.769,159.38,4.77,1.53892323767293
1362,35.2499503302986,0.000930161683835846,0.463399483778566,52.84,159.464,4.94,1.54723901922632
2277,33.896976111864,0.00590778253775593,0.619717221450951,54.255,162.01,4.855,1.5507884853094
338,35.6314193565684,0.0000842,0.482583392781739,52.2729,159.763,4.855,1.55183318235238
189,35.6709770979296,0.0000732,0.447900874321355,52.2119,159.6515,5,1.55231504484783
744,34.5107057065058,0.00537266348489082,0.599958412389736,54.8203,163.465,4.855,1.55346851234576
2123,18.6364740557683,0.0141715409685355,0.492304613699378,52.056,159.52,6.9,1.55508829754981
40,36.1981985602222,0.0000408,0.407827470199714,52.8334,160.8943,5.195,1.55868696475593
1715,2.5878863846119,0.0225604622961893,1.59122137032261,53.784,160.431,4.77,1.5616744228863
1023,36.8288425903513,0.00161597859524047,0.422882799875626,52.495,160.013,5.195,1.56661023393753
2120,23.349301743739,0.0125644406484897,0.884101510344537,55.721,161.624,5.025,1.56670199150428
435,26.2704072935815,0.0113878897729144,0.748863002579575,52.5021,160.836,5.28,1.56720862705032
